pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128.399471,997.545209,150.059656,808.202687,181.506967,729.849146,97.539818,694.001932,152.840666,673.881539,324.674169,593.193853,404.520000,606.170000,NaN,NaN,NaN,NaN,NaN,NaN
124.298154,996.358756,179.599157,794.495060,218.329995,717.724490,123.601020,678.865936,186.227195,663.040651,368.258598,588.410179,449.676220,605.398052,NaN,NaN,NaN,NaN,NaN,NaN
111.584069,984.494230,218.485748,782.447756,263.535501,711.950845,163.317115,668.820736,234.262914,654.170834,423.556366,593.555366,501.550240,615.459823,NaN,NaN,NaN,NaN,NaN,NaN
122.657627,959.183241,259.002076,782.755389,313.422256,712.769506,205.611944,671.519647,284.339204,654.817036,480.389989,607.498642,559.264020,634.046813,NaN,NaN,NaN,NaN,NaN,NaN
147.265532,930.708379,305.602087,790.935970,351.008758,737.864337,257.279740,683.874035,340.600605,660.992868,535.762943,631.322980,611.980715,659.299432,NaN,NaN,NaN,NaN,NaN,NaN
161.210012,918.448369,343.620045,802.651712,387.612902,753.402266,291.333491,702.885246,378.593471,675.697105,578.404401,654.477114,651.718769,687.030169,NaN,NaN,NaN,NaN,NaN,NaN
185.407786,907.374811,362.723474,809.965997,397.328092,755.354845,305.415870,713.008098,387.629292,679.117697,590.203251,651.483045,662.176151,680.475631,NaN,NaN,NaN,NaN,NaN,NaN
204.683979,897.487706,360.957920,808.160474,395.630353,753.016123,305.789355,714.975818,389.541613,680.592917,591.238238,648.888185,661.630413,681.488217,NaN,NaN,NaN,NaN,NaN,NaN
224.698560,874.648358,355.040476,803.332230,392.234876,750.911274,300.514966,713.788058,389.732845,679.855307,588.133277,650.684627,657.470329,686.525974,NaN,NaN,NaN,NaN,NaN,NaN
248.166030,846.556757,351.398972,799.820780,387.626729,750.911274,298.031268,714.130200,386.673131,678.564490,583.165340,650.485022,652.241638,690.559536,NaN,NaN,NaN,NaN,NaN,NaN
282.153399,824.707734,344.571152,799.381848,384.473786,749.975786,293.418688,714.814484,384.569578,677.826880,577.783409,649.486999,647.010000,691.010000,NaN,NaN,NaN,NaN,NaN,NaN
324.652337,802.928449,341.549883,802.481503,382.533514,751.145146,288.096480,715.498767,382.083560,677.273673,575.299440,649.087790,643.070000,690.540000,NaN,NaN,NaN,NaN,NaN,NaN
367.278080,781.554684,340.426151,805.190497,381.293546,751.065778,288.806108,715.498767,380.744935,677.642478,574.471451,647.890162,640.790000,690.100000,NaN,NaN,NaN,NaN,NaN,NaN
405.641248,762.647122,345.481528,808.160474,381.293546,751.065778,288.096480,715.498767,380.171239,678.011283,572.815472,645.894116,639.570000,689.010000,NaN,NaN,NaN,NaN,NaN,NaN
441.127833,749.962560,351.398972,810.355130,383.503650,751.379019,286.322410,715.498767,380.744935,677.273673,571.366490,644.496884,639.590000,687.220000,NaN,NaN,NaN,NaN,NaN,NaN
474.028631,747.060246,358.681980,816.500168,387.869263,750.911274,284.193527,716.867335,380.936168,677.089271,567.847535,642.101629,640.930000,685.340000,NaN,NaN,NaN,NaN,NaN,NaN
514.090544,755.085845,364.599424,820.450549,392.234876,749.508041,282.774272,716.525193,379.788775,675.614052,566.812548,641.103606,640.640000,684.270000,NaN,NaN,NaN,NaN,NaN,NaN
543.649327,772.487745,375.523935,820.889481,392.874536,747.777396,281.355016,717.551619,380.553703,675.245247,565.156569,640.504792,640.730000,682.960000,NaN,NaN,NaN,NaN,NaN,NaN
567.062226,798.038859,379.620627,816.061237,393.392526,747.028160,280.645388,716.893761,380.744935,674.692040,563.293593,638.708351,640.600000,682.280000,NaN,NaN,NaN,NaN,NaN,NaN
