pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
548.220000,553.210000,496.530000,406.820000,555.210000,355.740000,463.440000,343.910000,549.314212,312.779154,727.890000,264.000000,809.250000,312.810000,NaN,NaN,NaN,NaN,602.173542,501.918253,605.441863,505.109721,NaN,NaN
547.736348,553.346132,502.620000,406.120000,561.400000,354.480000,469.630000,342.030000,555.739953,311.076931,733.090000,261.900000,815.220000,310.960000,NaN,NaN,NaN,NaN,610.388511,499.967912,613.480167,503.602639,NaN,NaN
547.236348,553.503071,508.220000,405.550000,566.470000,352.970000,476.540000,340.440000,561.469594,309.583968,739.360000,260.390000,820.700000,309.240000,NaN,NaN,NaN,NaN,612.843164,496.610698,618.471686,502.259540,NaN,NaN
547.122731,553.888718,514.170000,405.670000,574.390000,351.580000,482.540000,339.740000,569.228860,307.654293,744.740000,259.150000,826.820000,307.140000,NaN,NaN,NaN,NaN,625.019151,493.036941,629.269260,500.299738,NaN,NaN
546.349965,554.503071,519.650000,405.850000,580.250000,350.790000,486.840000,339.870000,574.962418,306.672485,749.890000,257.230000,832.170000,304.990000,NaN,NaN,NaN,NaN,634.039515,492.881941,638.497765,498.246313,NaN,NaN
544.531666,554.274365,526.080000,405.950000,585.590000,350.470000,493.690000,339.070000,581.084259,305.544706,754.290000,255.790000,837.040000,303.080000,NaN,NaN,NaN,NaN,607.610371,495.658288,610.754115,500.215646,NaN,NaN
543.758899,555.274365,531.840000,406.310000,589.540000,350.210000,497.830000,338.800000,584.837625,305.353386,758.870000,254.770000,841.620000,301.290000,NaN,NaN,NaN,NaN,619.486738,492.587471,622.363353,496.008854,NaN,NaN
542.599750,555.816951,537.600000,406.840000,594.110000,350.120000,503.260000,338.480000,589.090000,305.370000,763.250000,254.410000,846.150000,300.390000,NaN,NaN,NaN,NaN,628.568666,492.269484,631.712411,495.190867,NaN,NaN
541.054217,555.816951,543.140000,407.920000,598.800000,350.390000,508.550000,338.770000,593.110000,305.770000,767.700000,254.140000,850.470000,300.400000,NaN,NaN,NaN,NaN,643.938083,490.516654,647.896872,493.788603,NaN,NaN
540.667834,556.202597,547.410000,409.100000,603.330000,351.330000,512.056456,338.941919,597.060000,306.650000,772.190000,254.650000,854.780000,301.030000,NaN,NaN,NaN,NaN,649.842007,491.918918,654.882971,496.476275,NaN,NaN
539.508684,557.202597,552.250000,409.970000,607.570000,351.880000,516.560650,339.553544,601.040000,307.670000,776.700000,255.700000,859.060000,302.440000,NaN,NaN,NaN,NaN,654.300796,491.802063,661.636199,497.411118,NaN,NaN
536.735918,557.245183,556.950000,410.410000,612.160000,352.030000,520.345995,339.970982,605.050000,307.570000,781.030000,255.960000,863.200000,302.160000,NaN,NaN,NaN,NaN,660.355415,492.503195,674.560482,500.799922,NaN,NaN
535.804002,557.359537,561.060000,409.770000,616.130000,351.410000,522.960000,339.940000,609.450000,306.810000,784.290000,255.030000,867.020000,301.340000,NaN,NaN,NaN,NaN,668.855168,493.554892,681.313710,498.813382,NaN,NaN
533.644852,557.630830,565.020000,409.760000,619.700000,350.880000,525.180000,339.880000,613.860000,305.650000,787.700000,254.380000,870.720000,300.740000,NaN,NaN,NaN,NaN,672.010196,495.588381,684.690325,501.851620,NaN,NaN
533.492543,557.980837,567.950000,409.980000,622.630000,350.660000,527.610000,340.030000,616.410000,305.520000,791.230000,254.430000,874.140000,301.160000,NaN,NaN,NaN,NaN,675.200429,497.722882,686.203979,505.707846,NaN,NaN
532.870000,557.630000,570.210000,409.880000,625.280000,350.900000,530.150000,340.040000,618.940000,305.960000,794.020000,254.140000,876.700000,301.670000,NaN,NaN,NaN,NaN,680.730167,501.991883,691.364279,509.249184,NaN,NaN
530.238805,557.882131,571.180000,409.910000,626.670000,350.930000,532.760000,339.590000,620.330000,306.460000,795.350000,253.900000,878.690000,301.130000,NaN,NaN,NaN,NaN,684.133083,503.699483,692.853054,510.316434,NaN,NaN
529.960000,558.010000,571.380000,410.010000,627.350000,351.040000,532.820000,340.030000,620.810000,306.600000,795.850000,253.780000,879.460000,300.780000,NaN,NaN,NaN,NaN,684.771129,504.126383,692.215008,511.170234,NaN,NaN
529.980000,557.460000,571.840000,410.110000,627.350000,352.140000,534.590000,340.160000,621.580000,307.260000,796.740000,254.200000,879.700000,300.850000,NaN,NaN,NaN,NaN,690.300867,501.424632,697.957428,512.237484,NaN,NaN
530.020000,557.490000,572.690000,410.130000,627.240000,352.700000,536.360000,340.160000,622.110000,307.780000,797.590000,254.110000,880.150000,300.980000,NaN,NaN,NaN,NaN,690.220000,502.860000,697.460000,512.450000,NaN,NaN
530.020000,557.490000,573.040000,410.000000,627.050000,353.030000,536.710000,340.090000,621.780000,308.080000,797.510000,253.890000,880.140000,300.920000,NaN,NaN,NaN,NaN,690.310000,503.210000,697.060000,512.380000,NaN,NaN
