pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
514.716713,362.871962,606.249500,437.099002,666.669198,474.208257,595.454532,514.928338,671.310038,518.309528,440.720000,495.260000,144.780000,467.060000
509.638734,370.551500,604.278292,441.992045,667.599381,475.052817,593.954532,516.300029,671.497057,518.593699,440.180000,496.770000,144.930000,466.950000
506.253414,375.903906,602.127883,446.662963,666.979259,475.052817,593.548773,516.671719,671.497057,519.162042,439.720000,498.180000,144.450000,467.480000
505.769797,382.187164,600.298273,451.266247,666.669198,475.334336,592.841094,517.543410,671.810038,519.730385,439.170000,499.680000,143.970000,467.040000
509.622351,384.445150,599.185466,454.484701,667.289320,476.460415,592.237254,519.043410,672.123020,519.798727,439.210000,501.350000,143.131840,467.201269
523.020118,381.152591,598.502351,457.135863,667.289320,477.304975,591.029575,520.286791,672.123020,520.367070,438.770000,502.940000,142.149846,468.092870
533.858023,379.580743,598.105761,458.716052,667.909442,477.304975,590.227655,521.239608,672.436001,520.935413,438.270000,504.650000,142.322515,467.647069
542.687440,378.623744,598.558590,460.754198,667.289320,477.868014,589.623816,522.320735,672.623020,521.219584,437.900000,505.470000,142.158849,467.795669
554.016858,375.607603,600.511419,460.773270,667.599381,477.304975,588.416137,523.773553,673.248982,521.572098,437.970000,506.260000,141.490000,467.500000
567.089263,370.957035,602.035945,460.100246,668.219503,478.149534,587.312297,524.726370,673.417555,521.230366,437.970000,507.200000,141.500000,467.940000
588.005111,366.381752,604.132169,458.716052,667.909442,477.868014,586.708458,524.726370,672.960636,521.230366,438.010000,507.640000,141.950000,467.930000
612.406934,360.951613,605.847261,456.985811,667.409442,477.868014,586.406538,525.307497,673.189096,521.645226,438.010000,508.040000,142.030000,467.940000
641.015101,360.291910,607.634051,454.717424,667.169198,477.868014,586.406538,524.598061,672.732176,521.645226,438.030000,507.970000,142.040000,467.410000
664.851618,361.673834,609.539709,451.449037,668.219503,477.023455,586.500779,524.145243,672.732176,521.645226,438.060000,507.890000,142.060000,466.860000
687.252200,365.543222,611.930792,447.272965,668.529564,476.741935,587.010377,523.726370,673.646015,521.645226,438.040000,507.380000,142.050000,466.200000
705.344978,368.583455,614.918981,441.883457,669.149685,477.023455,587.312297,523.726370,673.189096,521.852656,438.030000,506.940000,142.560000,465.830000
726.022439,371.900073,618.572088,435.587802,669.149685,477.868014,587.812297,523.726370,673.689096,521.560086,438.030000,506.950000,143.050000,465.670000
744.308071,376.634728,623.951013,427.744724,669.459746,477.868014,588.114217,523.354680,674.102934,521.645226,438.550000,506.970000,143.230000,465.220000
757.739610,376.634728,630.239684,423.765167,670.389929,478.431054,589.114217,523.064116,673.831394,521.230366,438.570000,506.920000,143.610000,464.800000
767.589405,376.060225,635.766093,420.131660,669.959746,478.712574,587.906538,522.516934,673.874475,521.437796,438.567776,506.732629,144.690000,464.470000
774.752893,371.751447,641.673633,417.190249,671.630173,479.275613,588.718057,522.111299,674.331394,521.852656,439.266664,505.913209,146.020000,463.390000
778.720000,371.410000,645.098964,415.668468,672.250295,478.712574,589.420876,521.692451,674.652190,521.536954,439.266359,504.765475,147.117544,462.529762
778.244732,368.417699,647.370695,414.344412,672.042557,478.816537,591.460255,520.059591,675.352179,521.245131,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
