pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
638.99,308,614.55398,383.714979,662.388829,414.014615,551.51,458.49,649.786621,457.221794,NaN,NaN,680.53,470.01,454.55,451.52,143.51,434.38,NaN,NaN
638.97,308,616.377483,384.719645,662.388829,413.958818,553.02,459,650.467849,457.586445,NaN,NaN,683.05,470.02,456.04,451.48,145.48,434.18,NaN,NaN
639.02,307.98,617.334985,385.640588,662.146093,413.958818,553.55,459,651.149077,457.734934,NaN,NaN,684.06,470,459.06,452.47,146.77,434.39,NaN,NaN
638.99,308.01,617.426486,386.812698,662.631564,414.18092,554.04,458.99,651.44034,457.65412,NaN,NaN,685.56,470,460.04,452.48,147.34,434.43,NaN,NaN
639,308.01,616.968984,387.901086,662.631564,414.18092,555.54,458.5,651.44034,457.870283,NaN,NaN,686.55,470.01,460.53,452.49,147.7,433.97,NaN,NaN
639,307.99,616.55398,388.908085,661.903357,413.903021,556.02,458.99,651.676586,458.086445,NaN,NaN,687.54,470,461.02,452.01,148.57,434,NaN,NaN
638.98,308.51,615.821977,389.910417,662.8743,413.903021,556.01,458.99,652.01,458.01,NaN,NaN,688.54,470,461.02,452.5,149.01,434.05,NaN,NaN
639.01,308.95,614.955976,390.663917,662.388829,413.458818,556.49,457.51,652,458,NaN,NaN,689.03,470.01,461,453.02,149.06,434.54,NaN,NaN
639,309,614.419052,391.501697,662.388829,413.68092,556,458.5,652,458.01,NaN,NaN,689.02,470.51,461,453.03,148.99,435.07,NaN,NaN
639.02,308.98,614.083371,392.683909,662.388829,413.014615,555.99,459.02,651.99,458,NaN,NaN,689,471.01,460.49,453.02,148.99,435.08,NaN,NaN
639.01,308.99,612.912009,393.866121,662.146093,413.236717,556,458.51,652.01,458,NaN,NaN,689.01,471.01,460.01,453.5,148.97,435.07,NaN,NaN
639,308.99,611.742055,396.007118,662.146093,413.014615,556,457.97,652,458,NaN,NaN,688.99,471,460.01,453.97,149,435.52,NaN,NaN
639.02,309.02,611.407783,396.995187,662.146093,413.458818,556.01,457.49,652,457.99,NaN,NaN,689.01,470.99,460.01,453.95,148.52,435.45,NaN,NaN
639,309.01,611.07351,398.983255,662.146093,413.458818,556.01,456.98,652.01,457.99,NaN,NaN,689.01,470.99,460.51,452.95,148.47,434.94,NaN,NaN
638.99,308.99,610.237829,400.012539,661.917885,413.236717,557,456.47,652,458,NaN,NaN,688.99,470.48,461,452.92,148.51,434.45,NaN,NaN
638.98,308.99,609.843835,401.034232,662.146093,413.014615,557.52,455.99,652.01,457.49,NaN,NaN,689,470,461.01,452.44,148.49,434.42,NaN,NaN
639.01,308.99,609.226208,402.664481,661.903357,412.736717,558,455.99,652.01,456.98,NaN,NaN,689,469.99,461,451.97,149.01,434.47,NaN,NaN
639.01,308.95,608.60858,403.29473,661.903357,412.348311,558.03,455.99,652.01,456.99,NaN,NaN,689,469.99,461.01,451.97,149.02,434.46,NaN,NaN
639.01,308.98,608.402704,403.483105,662.146093,412.404108,558,455.99,652,457.01,NaN,NaN,689.01,470.01,461.01,451.49,149,434.5,NaN,NaN
639,308.98,608.196828,403.983105,661.903357,412.570413,558,456,652,456.99,NaN,NaN,689.01,470,462,450.5,149.01,434.5,NaN,NaN
638.99,309,607.990953,404.359854,662.160621,412.348311,558.01,456,652.01,457,NaN,NaN,689.01,470.01,462.52,450.5,149.01,434.52,NaN,NaN
638.99,309.02,607.785077,404.424979,661.903357,412.570413,558.5,456,652,457,NaN,NaN,689,470,463.51,450.99,149.01,434.52,NaN,NaN
638.96,308.94,607.785077,404.613353,661.903357,412.570413,559,455.99,652,457,NaN,NaN,689,470,464,450.48,149,434.46,NaN,NaN
638.97,309,607.579201,405.055227,662.146093,412.570413,559.5,456,652.01,457,NaN,NaN,689.01,470,464.01,450.49,149,433.99,NaN,NaN
