pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
190.171760,859.742141,120.180000,781.720000,167.600000,735.960000,109.050000,706.500000,162.830000,702.700000,284.410000,657.500000,351.900000,687.780000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188.558243,861.234944,130.380000,779.540000,177.610000,732.240000,117.900000,705.810000,171.820000,700.060000,291.880000,651.170000,360.790000,679.390000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
186.867428,863.014489,142.690000,779.330000,188.070000,730.720000,127.880000,706.780000,182.190000,699.170000,299.300000,644.550000,369.440000,670.250000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
184.831207,865.147065,157.300000,778.820000,199.820000,730.680000,139.250000,710.410000,193.590000,699.850000,308.090000,640.060000,377.870000,663.250000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179.258764,869.125474,171.120000,782.080000,213.350000,732.830000,152.140000,714.920000,207.171600,702.007467,318.200000,638.750000,390.030000,659.530000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170.593341,871.684565,182.980000,784.300000,224.470000,735.000000,163.610000,718.040000,217.795261,704.403581,329.150000,640.020000,400.780000,660.780000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
161.293863,873.817140,188.580000,784.850000,229.210000,735.600000,168.870000,718.820000,223.794631,705.534137,335.750000,640.270000,404.140000,661.860000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154.953310,875.309943,190.040000,785.540000,229.010000,736.290000,168.640000,721.200000,223.169521,706.169138,336.260000,640.840000,404.710000,663.440000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149.669515,876.802746,189.530000,786.180000,228.150000,736.340000,166.730000,723.210000,222.669836,706.425806,337.010000,642.860000,405.890000,666.470000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144.597072,878.295549,190.620000,786.670000,228.450000,736.260000,164.650000,725.020000,221.795009,706.930251,339.410000,645.560000,407.970000,671.130000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139.947333,880.214867,191.640000,787.140000,228.470000,736.030000,163.400000,726.500000,221.260000,706.870000,341.440000,648.120000,409.300000,675.020000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137.622464,881.067898,192.530000,787.150000,227.860000,736.010000,160.810000,727.220000,221.390000,706.590000,342.380000,649.100000,409.330000,677.730000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
