pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y,pt13_cam1_X,pt13_cam1_Y,pt14_cam1_X,pt14_cam1_Y
397.737277,886.508619,509.781605,807.154056,552.33,764.62,492.21,717.32,550.676046,714.597253,709.9,707.17,768.47,743.28,331.39,731.45,37.930138,821.541818,NaN,NaN,NaN,NaN,NaN,NaN,616.157105,867.821555,617.242888,876.598719
392.042199,880.948517,510.783776,805.844372,552.1,765,492.16,717.02,551.81145,714.097253,710.72,706.93,768.7,743.23,332.27,732.04,37.821852,821.270674,NaN,NaN,NaN,NaN,NaN,NaN,616.355508,867.947005,618.028677,876.714475
390.042199,866.229855,511.620655,804.400088,552.95,764.9,491.99,716.94,552.095302,713.526167,710.63,706.62,769.09,743.1,332.21,732.54,37.930138,820.99953,NaN,NaN,NaN,NaN,NaN,NaN,616.355508,867.63428,618.290607,876.830231
391.843603,852.896371,512.686739,802.603524,555.587317,762.537301,492.03,716.94,552.663004,713.526167,711.31,707.14,769.26,743.07,332.55,732.63,38.02,821.49,NaN,NaN,NaN,NaN,NaN,NaN,616.355508,867.321555,618.421572,876.830231
398.534333,841.073866,513.158954,801.703745,557.155607,762.477922,492.04,716.99,553.298408,714.026167,711.62,707.07,769.04,743.54,333.1,732.69,38.03,820.92,NaN,NaN,NaN,NaN,NaN,NaN,616.053911,867.947005,618.421572,876.830231
414.495849,829.453556,513.212745,801.81011,559.997057,762.537301,492.02,717.03,553.798408,713.81171,712.41,706.8,769.55,743.81,333.4,732.68,38.06,820.89,NaN,NaN,NaN,NaN,NaN,NaN,617.260299,868.385178,618.421572,877.177499
439.533489,822.043676,513.648085,803.139626,561.701928,762.799787,492.02,717.08,554.36611,713.81171,712.39,706.8,770.57,743.39,333.9,733.27,38.03,820.9,NaN,NaN,NaN,NaN,NaN,NaN,617.458702,867.947005,618.552537,876.830231
466.98714,817.333246,513.502972,803.969142,563.543378,762.537301,492,717.6,554.649962,714.097253,712.84,706.9,771.07,742.95,334.04,733.61,38.51,820.89,NaN,NaN,NaN,NaN,NaN,NaN,618.061896,868.13428,618.814467,877.061743
501.047531,815.628306,513.648085,805.022153,564.543378,762.477922,491.99,718.07,554.933813,714.097253,713.16,706.93,771.31,742.98,334.08,734.38,39,820.9,NaN,NaN,NaN,NaN,NaN,NaN,618.66509,868.447005,618.552537,877.177499
542.436013,822.540931,513.886935,806.750924,565.679958,762.477922,492,718.11,555.217664,714.097253,713.09,706.93,771.34,742.47,334.53,734.99,39,820.36,NaN,NaN,NaN,NaN,NaN,NaN,618.16509,868.572454,619.338326,876.945987
