pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
191.98,235.38,77.269847,327.527677,143.767836,365.937769,32.201867,420.896462,140.798783,410.067104,NaN,NaN,165.53,418.02,NaN,NaN
191.25,234.84,79.699688,328.144056,148.588034,364.937769,33.01,420.5,146.418955,409.292239,NaN,NaN,168.55,417.05,NaN,NaN
190.53,234.5,83.818714,328.780159,154.055899,363.492518,34.5,420.52,152.919981,408.154807,NaN,NaN,171.56,416.54,NaN,NaN
189.7,234.79,89.467496,329.704227,159.679661,362.175929,40.5,419.01,158.611435,406.74251,NaN,NaN,177.07,414.98,NaN,NaN
189.16,235.48,94.292473,330.264399,165.354549,360.582073,47.02,417.01,164.683743,406.105077,NaN,NaN,182.29,414.02,NaN,NaN
188.81,235.57,101.324573,330.264399,171.591911,358.769446,54.156156,415.932528,171.042206,405.286361,NaN,NaN,189.56,413.66,NaN,NaN
188.64,236.01,108.42785,329.409258,177.351666,357.678316,62.837713,414.932528,177.352805,404.374064,NaN,NaN,198.05,411.96,NaN,NaN
188.29,235.97,118.325279,327.446405,186.858872,355.389409,72.487425,413.906579,186.163404,403.780483,NaN,NaN,209.11,410.23,NaN,NaN
187.88,235.95,129.397387,325.539061,196.672762,354.073667,82.491701,413.320323,195.30802,403.593321,NaN,NaN,217.05,409.43,NaN,NaN
187.74,236.01,141.367174,323.8724,207.406705,352.547729,91.52782,413.173758,205.595201,403.499741,NaN,NaN,228.22,409.28,NaN,NaN
187.94,235.96,154.097439,323.123346,219.367384,351.916244,105.939423,413.560151,219.358963,402.587443,NaN,NaN,239.18,408.63,NaN,NaN
187.93,235.94,174.66273,324.156161,233.278329,350.901485,119.356044,414.295249,231.733846,401.670141,NaN,NaN,251.15,408.33,NaN,NaN
187.43,235.94,192.469262,325.963587,246.818368,349.97904,134.023726,414.807389,244.492953,400.957862,NaN,NaN,264.7,408.09,5.032945,430.063353
186.99,235.94,208.269425,326.996401,259.253098,349.410063,147.643125,415.232591,255.991493,400.619673,NaN,NaN,278.3,408.26,16.769166,430.326915
186.51,235.96,216.294904,327.771013,271.964155,349.410063,159.890301,415.658303,268.775852,400.354949,NaN,NaN,288.82,409.25,30.616899,431.35404
186.38,236.06,223.818791,328.28742,278.319684,349.97904,170.407714,415.942111,275.416936,400.487311,NaN,NaN,299.49,409.02,41,433.04
185.49,237.65,226.075957,330.385865,281.80663,351.048018,170.707977,416.318779,278.416936,400.590224,NaN,NaN,302.76,408.79,43.06,433.64
184.89,238.44,225.323568,332.418679,281.911939,351.116996,170.99,416.5,277.988209,399.854949,NaN,NaN,302.99,408.46,43.01,434.04
184.81,238.35,225.072772,332.418679,280.635612,352.185974,170.99,416.98,277.988209,399.487311,NaN,NaN,303.04,407.97,43,434.01
184.98,238.52,224.821976,334.951494,279.990702,352.608418,171.01,417,278.345299,399.854949,NaN,NaN,303.05,408.01,43.01,434.49
185,238.52,223.356147,335.303486,279.543357,353.108418,171,416.47,278.70239,400.590224,NaN,NaN,304.02,407,42.99,433.45
184.98,238.51,222.454706,335.573483,279.043357,353.03944,170.98,415.97,278.99,400.48,NaN,NaN,304.03,406.96,42.98,432.44
185.04,239.01,222.255187,336.113476,278.819684,353.677396,171,416,278.98,400.01,NaN,NaN,303.99,407,42.99,431.98
184.5,239.49,221.252786,338.583438,278.267029,354.246374,170.99,416.02,279,400.01,NaN,NaN,304,407,43.02,432.55
184.86,239.35,221.252786,341.243411,278.543357,353.961885,170.99,416.02,278.47,400,NaN,NaN,303.98,407,43.01,433.55
185.01,238.99,221.252786,343.943377,277.767029,354.246374,170.98,416.03,277.98,400.01,NaN,NaN,303.99,407,43,434.04
185,239.01,220.351346,345.253366,278.043357,354.59984,171,416.52,277.96,400.01,NaN,NaN,303.98,407.02,43,434.04
185.02,239.02,219.449906,346.333352,277.214375,355.668818,171,417.01,277.99,400.01,NaN,NaN,303.99,407.02,43.01,434.52
185,239.01,219.449906,347.763322,276.66172,355.668818,171,417.02,277.48,400.02,NaN,NaN,304,407.01,43.01,435.03
185.01,239.52,219.149426,349.383301,276.938047,355.384329,171,417.01,276.99,400.01,NaN,NaN,302.98,407.01,43.01,436.53
185.01,240.02,218.848946,350.693291,276.66172,355.953307,171,417.03,276.98,400.02,NaN,NaN,302.96,407.01,42.99,437.03
184.52,240.27,218.247986,351.233284,276.66172,355.668818,171,417.51,276.99,400.01,NaN,NaN,302.99,407.01,43.01,437.04
184.26,240.31,218.447506,352.583267,276.66172,355.953307,171,418.02,276.48,400,NaN,NaN,302.99,407,43.01,437.02
184.01,241.07,218.247986,352.043273,276.66172,355.668818,170.99,418.02,276,400.01,NaN,NaN,302.48,407.49,43.01,437.03
183.99,241.49,217.245586,353.62326,277.214375,355.384329,171,418,275.97,399.99,NaN,NaN,301.98,407.03,42.5,437.52
183.01,242.89,217.647026,352.853263,277.490702,355.59984,171,418.01,275.99,400.01,NaN,NaN,301.97,407.01,43,438
179.706362,245.221332,217.747986,351.773277,277.66172,356.522285,171.01,418.52,276.01,400.03,NaN,NaN,302,407.53,43,438.01
209.980901,207.51404,218.147026,348.803315,278.319684,356.237796,171,419.02,276,401.04,NaN,NaN,302.01,408.06,43.01,437.99
252.931983,197.040727,220.050866,344.48337,278.596011,355.384329,171.01,419.02,275.99,401.53,NaN,NaN,302,408.55,43,438.01
292.075711,202.252665,222.053266,337.463459,279.424993,354.815352,171,418.97,276.5,401.97,NaN,NaN,302,408.96,42.99,437.97
325.043939,213.105552,225.858547,330.713545,279.70132,355.09984,171,418.95,277.53,401.92,NaN,NaN,302,408.44,43,437.47
354.181702,225.24342,228.567668,324.573655,280.530302,355.09984,171,417.46,277.51,401.94,NaN,NaN,302,405.44,42.99,436.96
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
